Scopus refine results values

"Your query : (PUBYEAR > 1 AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 842359

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,"1914","1","Ingram, Q.","1312",,,,,,,"Materials Research Express","855","Diabetes Mellitus","7592","Universiti Malaya","3293","Qatar Foundation","745","Benin","134",,,,
,,"1913","3","Kaya, M.","1312",,,,,,,"Talanta","852","Water","7564","Arak University of Medical Sciences","3263","Ministry of Higher Education, Malaysia","733","Tajikistan","133",,,,
,,"1912","1","Lecoq, P.","1312",,,,,,,"Iranian Journal Of Psychiatry And Behavioral Sciences","849","Human Experiment","7491","Lorestan University of Medical Sciences","3239","National Science and Technology Development Agency","731","Venezuela","132",,,,
,,"1911","2","Lethuillier, M.","1312",,,,,,,"Shiraz E Medical Journal","844","Forecasting","7484","Research Institute of Petroleum Industry, Tehran","3228","Department of Atomic Energy, Government of India","726","Mongolia","129",,,,
,,"1905","1","Loveless, R.","1312",,,,,,,"European Physical Journal C","843","Nanocomposite","7423","Allameh Tabataba'i University","3204","Instituto Politécnico Nacional","725","Zimbabwe","126",,,,
,,"1903","1","Marinelli, N.","1312",,,,,,,"Phosphorus Sulfur And Silicon And The Related Elements","843","Clinical Trial","7422","School of Advanced Technologies in Medicine","3174","Secretaría de Educación Pública","725","Malta","124",,,,
,,"1887","2","Moroni, L.","1312",,,,,,,"Caspian Journal Of Internal Medicine","842","Artificial Neural Network","7402","Birjand University of Medical Sciences","3134","Arak University of Medical Sciences","722","Cuba","119",,,,
,,"1885","1","Murray, M.","1312",,,,,,,"Water Resources Management","840","Infant","7358","University of Maragheh","3124","Pakistan Atomic Energy Commission","722","Trinidad and Tobago","119",,,,
,,"1884","1","Nayak, A.","1312",,,,,,,"Physics Letters Section B Nuclear Elementary Particle And High Energy Physics","835","Cell Culture","7292","Damghan University","3099","Qatar National Research Fund","720","Botswana","118",,,,
,,"1875","8","Rosowsky, A.","1312",,,,,,,"Physical Review D","830","Tensile Strength","7281","Graduate University of Advanced Technology","3039","Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional","718","Zambia","109",,,,
,,"1874","1","Santanastasio, F.","1312",,,,,,,"Journal Of Veterinary Research","829","Antioxidant Activity","7179","Ilam University","3017","Vice Chancellor for Research and Technology, Hamadan University of Medical Sciences","718","Grenada","103",,,,
,,"1868","3","Spagnolo, P.","1312",,,,,,,"Journal Of Industrial And Engineering Chemistry","827","Cytotoxicity","7171","University of Qom","2901","Commissariat à l'Énergie Atomique et aux Énergies Alternatives","709","Mozambique","101",,,,
,,"1861","1","Sznajder, A.","1312",,,,,,,"Fluid Phase Equilibria","825","Copper","7074","Vali-e-Asr University of Rafsanjan","2888","Helmholtz-Gemeinschaft","709","Mauritius","96",,,,
