Scopus refine results values

"Your query : (PUBYEAR > 1 AND DOCTYPE(ar) AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) OR LIMIT-TO ( SUBJAREA,""BIOC"" ) OR LIMIT-TO ( SUBJAREA,""IMMU"" ) OR LIMIT-TO ( SUBJAREA,""PHAR"" ) OR LIMIT-TO ( SUBJAREA,""AGRI"" ) OR LIMIT-TO ( SUBJAREA,""NEUR"" ) ) )"


Number of results : 35718543

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,"1916","7875","Stefanadis, C.","1090",,,,,,,"Die Naturwissenschaften","24809","Nucleotide Sequence","473730","Università degli Studi di Padova","62708","Japan Science and Technology Agency","25777","Azerbaijan","6380",,,,
,,"1915","8443","Freytag, H.","1088",,,,,,,"Frontiers In Plant Science","24720","Sensitivity And Specificity","470464","Amsterdam UMC - University of Amsterdam","62520","Natural Environment Research Council","25749","North Macedonia","6366",,,,
,,"1914","9741","Tjønneland, A.","1088",,,,,,,"Journal Of Food Science","24709","Body Mass","455158","UNC School of Medicine","62360","Norges Forskningsråd","25679","Palestine","5836",,,,
,,"1913","10538","Holmes, D.R.","1087",,,,,,,"Minerva Medica","24515","Microbiology","446366","Emory University","62321","Bill and Melinda Gates Foundation","25473","Congo","5799",,,,
,,"1912","9758","Nagler, A.","1087",,,,,,,"American Heart Journal","24502","Amino Acid Sequence","446293","Charles University","62254","Novartis","24421","Armenia","5710",,,,
,,"1911","8981","Burnstock, G.","1083",,,,,,,"Journal Of Cell Biology","24444","Western Blotting","440985","Shanghai Jiao Tong University","61642","Department of Biotechnology, Ministry of Science and Technology, India","24299","Malta","5460",,,,
,,"1910","9336","Ogihara, T.","1081",,,,,,,"Orvosi Hetilap","24424","Escherichia Coli","440622","Michigan State University","61578","Merck","24047","Madagascar","5422",,,,
,,"1909","8820","Storb, R.","1079",,,,,,,"British Journal Of Pharmacology","24237","Isolation And Purification","440263","University of Montreal","61154","University of California","23875","Bahrain","5361",,,,
,,"1908","8984","Iso, H.","1078",,,,,,,"Gene","24042","Incidence","435933","Universitetet i Oslo","61149","Roche","22678","Trinidad and Tobago","5340",,,,
,,"1907","8281","Iacobucci, G.","1077",,,,,,,"British Journal Of Cancer","23974","Glucose","422269","Universitat de Barcelona","60699","Office of Science","22081","Mozambique","5285",,,,
,,"1906","7734","Mahase, E.","1077",,,,,,,"Plastic And Reconstructive Surgery","23969","Diabetes Mellitus","420293","Northwestern University","60685","King Saud University","21893","Rwanda","5249",,,,
,,"1905","7652","Torp-Pedersen, C.","1076",,,,,,,"Journal Of Experimental Medicine","23841","Molecular Sequence Data","420198","University of Colorado School of Medicine","60159","Fundação de Amparo à Pesquisa do Estado de Minas Gerais","21597","Botswana","4954",,,,
,,"1904","7384","Trojanowski, J.Q.","1076",,,,,,,"Vaccine","23781","Cells, Cultured","416556","Wageningen University &amp; Research","59990","Ministry of Education, Science and Technology","21514","Bolivia","4882",,,,
,,"1903","6932","Overvad, K.","1073",,,,,,,"Oncotarget","23738","Kinetics","414521","University of Calgary","59734","National Human Genome Research Institute","21428","Mali","4655",,,,
,,"1902","6785","Comi, G.","1071",,,,,,,"Environmental Pollution","23698","Central Nervous System","411136","Pennsylvania State University","59302","Cancer Research UK","20773","Cambodia","4517",,,,
,,"1901","6755","Shields, J.A.","1071",,,,,,,"Obstetrics And Gynecology","23657","Cross-Sectional Studies","409763","Huazhong University of Science and Technology","59179","Natural Science Foundation of Beijing Municipality","20760","Guatemala","4444",,,,
,,"1900","6572","Larijani, B.","1068",,,,,,,"Experimental Cell Research","23475","Inflammation","409503","Università degli Studi di Napoli Federico II","58940","Agriculture Research System of China","20757","Yemen","4263",,,,
,,"1899","6439","Boffetta, P.","1063",,,,,,,"Agricultural And Biological Chemistry","23045","Drug Therapy","399210","Alma Mater Studiorum Università di Bologna","58410","European Social Fund","20534","Papua New Guinea","4210",,,,
,,"1898","6270","Franceschi, S.","1059",,,,,,,"Urology","23017","Time","398848","Memorial Sloan-Kettering Cancer Center","58389","Beijing Municipal Science and Technology Commission, Adminitrative Commission of Zhongguancun Science Park","20372","Mongolia","3862",,,,
,,"1897","6324","Maibach, H.I.","1052",,,,,,,"Modern Healthcare","22896","In Vivo Study","398149","McMaster University","58307","Fonds Wetenschappelijk Onderzoek","20212","Myanmar","3861",,,,
,,"1896","5629","Uitterlinden, A.G.","1052",,,,,,,"International Journal Of Pharmaceutics","22839","Magnetic Resonance Imaging","395490","Universiteit Gent","58294","National Research Foundation","20201","Gambia","3793",,,,
,,"1895","5578","Arendt-Nielsen, L.","1050",,,,,,,"Journal Of The Chemical Society Chemical Communications","22789","DNA","394790","Rijksuniversiteit Groningen","58214","GlaxoSmithKline","20135","Democratic Republic Congo","3537",,,,
,,"1894","5613","Boeing, H.","1049",,,,,,,"Anticancer Research","22717","Dose Response","393651","University of Iowa","58065","Howard Hughes Medical Institute","20093","Albania","3500",,,,
,,"1893","5484","Winblad, B.","1048",,,,,,,"Molecular And Cellular Biology","22640","Mutation","393240","Leids Universitair Medisch Centrum","57932","Medical Research Council Canada","19646","Gabon","3436",,,,
,,"1892","5306","Diener, H.C.","1047",,,,,,,"Helvetica Chimica Acta","22366","Upregulation","388585","Beth Israel Deaconess Medical Center","57895","Ministero della Salute","19404","Paraguay","3371",,,,
,,"1891","4705","Dalmat, Y.M.","1046",,,,,,,"Fertility And Sterility","22204","Psychology","384699","Radboud University Medical Center","57822","British Heart Foundation","18977","Namibia","3232",,,,
,,"1890","4479","Maffulli, N.","1046",,,,,,,"Journal Of Pharmaceutical Sciences","22189","Genotype","384429","Medizinische Universität Wien","57804","Agencia Nacional de Promoción Científica y Tecnológica","18930","Laos","3018",,,,
,,"1889","4581","Benjakul, S.","1044",,,,,,,"Aquaculture","22142","Antineoplastic Agent","377407","University Medical Center Utrecht","57603","Medicinska Forskningsrådet","18854","Togo","2882",,,,
,,"1888","4356","Komuro, I.","1044",,,,,,,"Journal Of Membrane Science","21883","Enzyme Linked Immunosorbent Assay","376279","Harvard University","57172","Austrian Science Fund","18795","New Caledonia","2702",,,,
,,"1887","4394","Ge, J.","1043",,,,,,,"Neuroimage","21871","Depression","376211","Seoul National University","57086","Indian Council of Medical Research","18701","Moldova","2689",,,,
,,"1886","3674","Tsubota, K.","1043",,,,,,,"Frontiers In Oncology","21604","Postoperative Complication","373669","University of Illinois at Chicago","56947","National Aeronautics and Space Administration","18644","Niger","2663",,,,
,,"1885","4076","Jacobs, D.R.","1042",,,,,,,"Transplantation","21582","Cell Line","371676","The University of Utah","56589","Research to Prevent Blindness","18422","Dominican Republic","2543",,,,
,,"1884","3962","Tufik, S.","1042",,,,,,,"Journal Of Neurophysiology","21555","Quality Of Life","371142","Harvard T.H. Chan School of Public Health","56336","Bristol-Myers Squibb","18214","Brunei Darussalam","2519",,,,
,,"1883","3535","Hetzer, R.","1041",,,,,,,"Bollettino Della Societa Italiana Di Biologia Sperimentale","21505","Review","369485","Duke University","56309","Ministry of Agriculture of the People's Republic of China","18129","Montenegro","2476",,,,
,,"1882","3460","Lippi, G.","1041",,,,,,,"Journal Of Neurosurgery","21332","Sex Difference","367360","Oregon Health &amp; Science University","56176","Generalitat de Catalunya","17980","Fiji","2376",,,,
,,"1881","3287","Lutz, S.","1041",,,,,,,"Journal Of Animal Science","20876","Real Time Polymerase Chain Reaction","365015","National University of Singapore","55988","Narodowe Centrum Nauki","17939","Grenada","2306",,,,
,,"1880","3205","Thiele, H.","1041",,,,,,,"BMJ","20851","China","361620","Consejo Nacional de Investigaciones Científicas y Técnicas","55840","Grantová Agentura České Republiky","17830","Libya","2302",,,,
,,"1879","3202","Colditz, G.A.","1038",,,,,,,"Journal Of Thoracic And Cardiovascular Surgery","20813","Flow Cytometry","361013","Universiteit Utrecht","55737","Fogarty International Center","17762","Sierra Leone","2261",,,,
,,"1878","2980","Brodersen, K.","1032",,,,,,,"Neurocomputing","20766","Hospitalization","357374","Peking University","55689","Eli Lilly and Company","17555","Mauritius","2247",,,,
,,"1877","3016","Sasano, H.","1032",,,,,,,"International Journal Of Radiation Oncology Biology Physics","20762","Classification","355269","The University of Osaka","55608","Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro","17483","Kyrgyzstan","2213",,,,
,,"1876","2971","Stampfer, M.J.","1028",,,,,,,"Vestnik Khirurgii Imeni I I Grekova","20461","Oral Drug Administration","353580","Albert Einstein College of Medicine","55280","Associazione Italiana per la Ricerca sul Cancro","17335","Honduras","2211",,,,
,,"1875","2503","Zurakowski, D.","1027",,,,,,,"Archiv Der Pharmazie","20415","Obesity","351026","Aarhus Universitet","55225","Royal Society","17057","Afghanistan","2162",,,,
,,"1874","2586","Deary, I.J.","1026",,,,,,,"British Journal Of Surgery","20379","School Child","349624","Universidade Estadual Paulista Júlio de Mesquita Filho","55034","Novo Nordisk Fonden","16731","Monaco","2151",,,,
,,"1873","2270","Söllner, K.","1026",,,,,,,"American Journal Of Roentgenology","20192","Age Factors","347797","Chinese Academy of Agricultural Sciences","55031","Economic and Social Research Council","15964","French Polynesia","1853",,,,
,,"1872","2506","Wareham, N.J.","1024",,,,,,,"Cancers","20116","Kidney","344498","University of Texas Health Science Center at Houston","54787","ZonMw","15871","Libyan Arab Jamahiriya","1807",,,,
,,"1871","2275","Beckmann, M.W.","1023",,,,,,,"Journal Of The Science Of Food And Agriculture","20044","Calcium","344012","Université Paris-Saclay","54372","Science and Engineering Research Board","15717","Nicaragua","1786",,,,
,,"1870","2341","Baumann, U.","1019",,,,,,,"American Journal Of Physiology Heart And Circulatory Physiology","20006","Protein","343791","Case Western Reserve University","54355","Canada Research Chairs","15616","Barbados","1684",,,,
,,"1869","2279","White, N.J.","1018",,,,,,,"Small","19894","Body Weight","343428","University of California, Irvine","54236","Basic and Applied Basic Research Foundation of Guangdong Province","15605","Guinea","1679",,,,
,,"1868","2157","Oda, Y.","1017",,,,,,,"Annals Of Internal Medicine","19805","Controlled Clinical Trial","342078","Klinikum der Universität München","53996","Deutscher Akademischer Austauschdienst","15483","Kiribati","1664",,,,
,,"1867","1898","Undefined","590761",,,,,,,"Undefined","2608","Prediction","339126","The University of Western Australia","53785","Undefined","26726325","Undefined","5970860",,,,
